Place_id,Place_name,Category,Address,Latitude,Longitude,Description,Image_URL
1,Bromo,Gunung,"Daerah Gn. Bromo, Podokoyo, Tosari, Kabupaten Pasuruan, Jawa Timur, Indonesia",-7.94248,112.95301,"Gunung Bromo, terletak di Jawa Timur, adalah gunung berapi aktif dengan ketinggian 2.329 mdpl. Dikenal dengan kawahnya, lautan pasir, dan panorama matahari terbit yang ikonik, Bromo berada di Taman Nasional Bromo Tengger Semeru dan menjadi destinasi wisata populer di Indonesia.",https://image.popbela.com/content-images/post/20231225/8aa929d9b2986a7c68fc365585a28ceb.jpg?width=1600&format=webp&w=1600
2,Kawah Ijen,Kawah,"Kawah Ijen, Kabupaten Banyuwangi, Jawa Timur, Indonesia",-8.05837,114.2433,"Kawah Ijen, terletak di Jawa Timur, adalah kawah gunung berapi dengan danau asam terbesar di dunia. Dikenal dengan fenomena api biru (blue fire) yang langka, kawah ini menjadi destinasi wisata dan penelitian geologi.",https://www.yukbanyuwangi.co.id/wp-content/uploads/2023/12/DJI_0126_1200-960x636.jpg
3,Yogyakarta,Kota,"Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia",-7.80137,110.36475,"Yogyakarta adalah kota budaya di Indonesia yang terkenal dengan warisan sejarah, seni, dan pusat pendidikan. Dikenal dengan Keraton Yogyakarta, Candi Prambanan, serta kuliner khas seperti gudeg, kota ini juga menjadi destinasi wisata populer dengan suasana yang kental akan tradisi dan kreativitas",https://raminten.com/wp-content/uploads/2024/07/tugu-jogja.jpg
4,Bandung,Kota,"Bandung, Jawa Barat, Indonesia",-6.91682,107.62055,"Bandung adalah ibu kota provinsi Jawa Barat yang terkenal dengan cuaca sejuk, arsitektur kolonial, dan kuliner khas. Dikenal sebagai 'Paris van Java', Bandung juga memiliki banyak tempat wisata alam seperti Tangkuban Perahu dan Kawah Putih.",https://images.contentstack.io/v3/assets/blt00454ccee8f8fe6b/blt7f86b6cf7e72ffe7/61bc491f85b59c201581b414/US_Bandung_ID_Header.jpg?width=1440&quality=70&auto=webp
5,Danau Toba,Danau,"Danau Toba, Kabupaten Samosir, Kabupaten Toba, Sumatera Utara, Indonesia",2.78689,98.61605,"Danau Toba adalah danau vulkanik terbesar di dunia yang terletak di Sumatera Utara. Dikenal dengan keindahan alamnya, pulau Samosir di tengah danau, serta budaya Batak yang kaya, Danau Toba menjadi salah satu destinasi wisata utama di Indonesia.",https://regalsprings.co.id/wp-content/uploads/2023/05/danau-toba-1536x1023.jpg
6,Bukittinggi,Kota,"Bukittinggi, Sumatera Barat, Indonesia",-0.30391,100.38347,"Bukit Tinggi adalah kota di Sumatera Barat yang terkenal dengan budaya Minangkabau, arsitektur rumah gadang, dan kuliner khas seperti rendang. Dikenal dengan keindahan alamnya, Bukit Tinggi juga memiliki banyak tempat wisata seperti Jam Gadang dan Ngarai Sianok.",https://www.nusantaratv.com/2024/01/bukit-tinggi-1705294665-01-2024.jpg
7,Medan,Kota,"Medan, Sumatera Utara, Indonesia",3.61075,98.67085,"Medan adalah ibu kota provinsi Sumatera Utara yang terkenal dengan keragaman budaya, kuliner, dan sejarah. Dikenal dengan Masjid Raya Al Mashun dan Istana Maimun, Medan juga menjadi pintu gerbang menuju Danau Toba dan tempat wisata lainnya di Sumatera Utara.",https://www.rumah123.com/seo-cms/assets/Medan_Kota_c5625f2988/Medan_Kota_c5625f2988.webp
8,Rawa Pening,Danau,"Danau Rawa Pening, Waduk Rawapening, Kabupaten Semarang, Jawa Tengah, Indonesia",-7.28137,110.43308,"Rawa Pening adalah danau alami yang terletak di Jawa Tengah. Dikenal dengan keindahan alamnya, Rawa Pening juga menjadi tempat wisata yang populer untuk aktivitas seperti berperahu, memancing, dan menikmati pemandangan alam yang indah.",https://asset.kompas.com/crops/7fxUSBj5r9NCj1jgOefVaLsKA2M=/0x0:1800x1200/1200x800/data/photo/2023/03/07/6406c3e71fd87.jpg
9,Tana Toraja,Kota,"Kabupaten Tana Toraja, Sulawesi Selatan, Indonesia",-3.01282,119.75352,"Tana Toraja adalah daerah di Sulawesi Selatan yang terkenal dengan budaya dan tradisi unik masyarakat Toraja. Dikenal dengan upacara pemakaman yang megah, rumah adat Tongkonan, serta keindahan alam pegunungan, Tana Toraja menjadi destinasi wisata budaya yang menarik.",https://dutaminang.com/wp-content/uploads/2017/01/Tanah-Toraja.jpg
10,Manado,Kota,"Manado, Sulawesi Utara, Indonesia",1.49207,124.84009,"Manado adalah ibu kota Provinsi Sulawesi Utara yang terkenal dengan keindahan lautnya, terutama Taman Nasional Bunaken yang merupakan salah satu destinasi selam terbaik di dunia. Kota ini juga memiliki budaya yang kaya, kuliner khas seperti Tinutuan (bubur Manado), serta pemandangan alam yang memukau, termasuk Gunung Lokon dan Danau Tondano.",https://asset.kompas.com/crops/JKmVlp4tEmfKRlPM3q28A4uEimc=/0x27:1000x693/1200x800/data/photo/2020/04/20/5e9d07ee9089f.jpg
