User_Id,Place_Id,Place_Ratings
4165,32,1.3
1098,29,2.6
1732,36,3.2
121,39,3.4
3926,32,2.4
3022,30,3.7
289,31,5.0
1514,7,2.3
4157,20,4.5
4943,23,3.0
2900,17,3.3
493,6,4.8
795,24,3.7
4692,24,3.6
906,19,2.5
1840,7,4.7
3976,5,2.5
1103,9,4.7
2973,34,2.4
3734,3,1.2
3971,2,3.3
190,23,3.8
4064,14,4.1
1447,13,3.5
1561,16,2.9
4633,21,4.1
85,15,1.5
2673,1,3.7
4971,1,3.6
1176,23,3.1
2586,22,4.1
1275,24,3.3
2914,21,3.7
2187,10,3.4
1081,33,2.9
2076,28,4.6
2969,31,1.6
1277,35,1.2
1518,22,4.6
152,37,1.1
3710,5,4.7
2765,35,2.6
2703,38,2.7
2689,35,1.5
1702,4,2.5
374,19,3.8
3678,37,4.4
3333,37,1.9
4428,36,3.0
3910,5,2.4
2788,12,1.7
2331,18,2.3
3232,37,2.2
3195,20,3.3
411,16,1.1
1827,35,3.2
3039,40,1.1
1976,30,3.9
1532,10,2.2
3084,39,2.8
3609,2,2.6
1780,6,4.6
2084,11,3.2
560,32,2.2
1947,22,2.7
3000,38,3.5
3238,23,3.4
826,28,2.7
796,2,3.4
768,16,3.9
3914,16,2.8
4762,40,1.8
2666,19,4.4
2028,17,1.4
4269,32,3.2
2325,7,1.4
779,32,4.4
3307,39,1.6
542,16,1.1
4555,41,2.2
2273,1,4.8
3106,29,3.4
4375,35,4.6
2116,2,4.9
1482,4,1.8
2005,24,3.9
3019,13,3.9
2198,29,3.6
1896,12,2.0
655,11,3.1
2893,5,3.6
2155,22,2.6
4182,34,3.3
1284,28,3.8
820,29,2.5
3382,30,2.8
3746,10,2.3
4107,1,4.9
133,2,4.4
523,3,1.9
2759,9,4.9
2261,9,1.1
1432,41,2.7
4947,29,4.4
2157,13,4.9
2799,7,1.1
4437,33,2.8
108,36,3.7
2793,10,3.0
1311,13,3.4
2798,35,4.4
1,10,4.8
1035,2,2.7
2943,39,2.7
4238,27,2.5
115,18,3.9
2853,17,1.8
4331,5,1.9
3378,36,3.7
1849,33,1.3
2267,14,4.8
1084,35,4.6
4055,21,1.9
1767,4,1.5
4251,8,4.7
4097,24,3.7
1683,4,2.2
558,29,3.0
3640,6,1.9
2203,36,2.8
4330,8,1.3
2738,1,4.6
229,27,4.2
3151,1,3.0
4932,17,3.8
2525,9,2.6
4838,36,2.1
1633,30,4.6
4068,22,1.9
4490,8,3.6
2817,4,2.7
1519,41,2.1
3005,30,4.4
4953,5,2.7
4198,13,3.1
2306,20,2.0
133,35,1.9
1961,3,2.2
409,8,3.1
27,20,1.7
2848,18,5.0
475,2,4.6
3986,39,4.0
1752,19,4.8
1015,39,4.6
4364,26,4.7
3648,25,2.1
1552,1,4.2
891,16,5.0
371,38,1.0
